Designator,Mid X,Mid Y,Rotation,Layer
BT1,178.054,-89.168,90.0,top
C1,110.49,-70.866,270.0,top
C10,117.348,-128.27,270.0,top
C11,153.924,-122.174,0.0,top
C2,120.904,-70.407,90.0,top
C3,158.242,-93.726,90.0,top
C4,160.782,-93.726,90.0,top
C5,140.97,-134.112,90.0,top
C6,133.858,-143.256,90.0,top
C7,98.806,-113.792,0.0,top
C8,137.16,-86.106,180.0,top
C9,136.447,-61.722,180.0,top
D1,118.618,-138.43,0.0,top
D2,163.576,-127.254,0.0,top
D4,148.844,-140.716,0.0,top
IC1,131.572,-129.794,0.0,top
J1,131.773,-53.858,0.0,top
J2,146.304,-112.268,180.0,top
J3,153.67,-57.658,0.0,top
J4,103.378,-134.874,180.0,top
J5,91.694,-88.361,270.0,top
L1,135.128,-123.19,0.0,top
Q1,122.682,-133.35,270.0,top
Q2,149.682,-127.0,0.0,top
R1,110.998,-60.96,0.0,top
R10,122.4895,-128.524,0.0,top
R11,143.5715,-127.0,0.0,top
R12,156.2715,-140.716,0.0,top
R13,156.21,-127.762,0.0,top
R14,141.732,-122.428,0.0,top
R15,147.574,-122.428,0.0,top
R16,122.936,-123.19,0.0,top
R17,129.286,-122.936,0.0,top
R18,119.253,-107.6975,270.0,top
R19,122.809,-107.696,270.0,top
R2,159.4505,-98.298,180.0,top
R20,99.06,-109.728,0.0,top
R21,140.716,-140.97,0.0,top
R22,142.24,-102.616,90.0,top
R23,153.924,-117.094,0.0,top
R24,101.2845,-75.692,0.0,top
R25,111.4405,-100.0145,270.0,top
R26,160.528,-117.094,0.0,top
R27,150.368,-86.5525,270.0,top
R28,159.258,-80.53,0.0,top
R29,159.258,-83.82,0.0,top
R3,115.316,-74.168,0.0,top
R30,97.2205,-67.31,90.0,top
R31,164.592,-81.5955,90.0,top
R32,114.046,-66.548,0.0,top
R4,152.654,-103.124,270.0,top
R5,152.654,-98.044,0.0,top
R6,157.163,-112.014,0.0,top
R7,153.924,-109.728,0.0,top
R8,125.73,-138.43,0.0,top
R9,142.24,-97.536,270.0,top
SW1,119.432,-59.726,0.0,top
U1,115.636,-70.978,0.0,top
U2,156.21,-104.231,0.0,top
U3,106.172,-113.538,0.0,top
U4,151.768,-133.985,0.0,top
U5,110.49,-84.074,270.0,top
U7,137.201,-129.298,0.0,top
U8,120.142,-98.8385,270.0,top
Y1,136.906,-73.406,90.0,top
